J.Portugal Ramos Loureiro (Vinho Verde), 87, 10, 2019, 12, PORTUGAL, Louriero with a touch of Alvarinho has produced a bright wine showing off its green fruits crisp apples and lively acidity. The wine is dry fruity and ready to drink, Roger Voss
Aphros Ten Loureiro (Vinho Verde), 88, 16, 2018, 10, PORTUGAL, The name of the wine comes from the low alcohol of this wine at 10%. It comes from stopping fermentation to leave a crisp but lightly sweet wine with fine acidity and sweet apple flavors. Drink the wine now, Roger Voss

Arrochela & Camizao Sem Mal White (Vinho Verde), 87, 25, 2017, 11, PORTUGAL, This early harvest wine has a malolactic fermentation in the bottle. It has low sulfur and a naturally crisp bone-dry character. The acidity and citrus dominate this intense wine. Drink now, Roger Voss

Wines & Winemakers Maria Bonita Loureiro (Vinho Verde), 87, 12, 2018, 10.5, PORTUGAL, This is a dry style of Vinho Verde attractively perfumed with a herbal edge. The wine has a touch of spice that highlights the smoky citrus flavors. Drink the wine now, Roger Voss

Adega Ponte da Barca Grande Escolha Loureiro Loureiro (Vinho Verde), 87, 11, 2018, 12, PORTUGAL, A deliciously aromatic wine this is tangy textured and with fine ripe fruits. Its acidity and crisp texture are balanced with the richness of the apple flavors. Drink now, Roger Voss

Adega Ponte da Barca Grande Escolha White (Vinho Verde), 86, 10, 2018, 12, PORTUGAL, The wine has a slight prickle and a touch of sweetness to give a soft edge to the fresh acidity. Dominated by aromatic Loureiro the wine is attractively perfumed and ready to drink, Roger Voss

J.Portugal Ramos Loureiro Loureiro (Vinho Verde), 86, 11, 2018, NaN, PORTUGAL, A soft textured wine floral and with ripe aromatic flavors this is open and ready to drink. Its brightness and freshness go along with sliced apple flavors and crisp acidity at the end, Roger Voss

Santos & Seixo Santos da Casa Alvarinho (Vinho Verde),  89, 25, 2017, 13.5, PORTUGAL, A crisp creamy textured wine that brings together apples fresh fruitiness and a richer texture. It comes from the northern Vinho Verde region of Moncao and Melgaco whose granite soils are just right for Alvarinho. Drink the wine now, Roger Voss  

Sogrape Azevedo Loureiro-Alvarinho White Vinho Verde), 88, 11, 2017, 11.5, PORTUGAL, The two finest grapes in Vinho Verde give a ripe full blend of fresh fruits and lively acidity. It is taut and mineral as well as so intensely fruity. Drink now, Roger Voss

Global Wines Vinha Maria Alvarinho (Vinho Verde), 88, 15, 2017, 13, PORTUGAL, This is a soft nutty and creamy wine with a touch of toastiness as well as smooth textured fruits. The wine is perfumed ripe and ready to drink, Roger Voss

Sogrape Quinta de Azevedo Reserva White Vinho Verde), 88, 17, 2017, 12, PORTUGAL, This crisp fruity wine is bone dry with bright lemon flavors and a pure lively bright aftertaste. The touch of creaminess from the Alvarinho in the blend gives the wine some richness. Drink now, Roger Voss

Global Wines Vinha Maria Arinto-Loureiro White (Vinho Verde), 86, 10, 2017, 11.5, PORTUGAL, This wine is a blend of two of the major grapes of Vinho Verde keeping all the crispness and freshness while adding some weight. Its bright acidity and citrus flavors are tangy nervy and really crisp. Drink now, Roger Voss

Herdade do Rocim Goivo White (Vinho Verde), 86, 13, 2017, NaN, PORTUGAL, A light prickle on the tongue gives this wine its extra freshness. It is dry and light packed with crisp fruitiness from a blend of three of the classic grapes of Vinho Verde. Drink now, Roger Voss

Quinta de Malgaco QM Alvarinho (Vinho Verde), 91, 23, 2017, 13, PORTUGAL, The Alvarinho grape thrives in the northernmost region of Vinho Verde Moncao and Melgaco. This ripe wine shows the grape off to the best advantage with rich creamed apple and ripe lime flavors. It is textured and very fruity. Drink from 2019, Roger Voss

J.Portugal Ramos Alvarinho (Vinho Verde), 90, 17, 2017, 13, PORTUGAL, This wine comes from the Moncao and Melgaco region in the north of Vinho Verde the spiritual home of Alvarinho. It has all the richness associated with the grape with a strong layer of minerality as well as a zesty texture. Apples and green plums come through the young acidity. This will be better from 2019, Roger Voss

Aveleda White (Vinho Verde), 88, 9, 2017, 11.5, PORTUGAL, There is a light prickle to this ripe dry wine Produced from one of the major grapes of Vinho Verde it offers apple and lime flavors that are lifted by zingy acidity and a bite of lemon zest. Drink this refreshing wine now, Roger Voss

J.Portugal Ramos 2017 Loureiro (Vinho Verde), 88, 10, 2017, 12.5, PORTUGAL, Although this wine is labeled Loureiro the blend holds a touch of Alvarinho. The result is a crisp wine with an attractive tangy character as well as good acidity. A richer edge gives the wine weight and intensity. Drink now, Roger Voss

Provam Varanda do Conde White (Vinho Verde), 88, 10, 2017, 12, PORTUGAL,  refreshingly crisp blend of Trajadura and Alvarinho this is bright and intensely fruity. The fruit is still right up front and probably could calm down a little to bring out the ripeness and minerality of this attractive wine. Drink from 2019, Roger Voss

Quinta de Malgaco Torre de Menagem Escolha White (Vinho Verde), 88, 13, 2017, 12, PORTUGAL, Lightly sparkling and with ripe fruits this wine comes from the northernmost part of Vinho Verde. Crisp while also creamy it has a mineral edge. Drink this refreshing wine now, Roger Voss

A&D Wines Liv Branco White (Vinho Verde), 84, 12, 2017, 12.5, PORTUGAL, Light and attractive this wine offers crisp apple and citrus flavors. It is just off dry and has a good tang. Drink now, Roger Voss 

Wines & Winemakers Lua Cheia em Vinhas Velhas Maria Papoila Alvarinho (Vinho Verde), 83, 18, 2017, 12.5, PORTUGAL, This is a soft wine surprisingly so considering the grape and its origins in northern Vinho Verde. It has fruit but it does seem to miss out on flavor and definition, Roger Voss

Anselmo Mendes Curtimenta Alvarinho (Vinho Verde), 94, 35, 2015, 12.5, PORTUGAL, This wood-aged partially whole-bunch fermented wine is a complete unexpected departure for Vinho Verde. It has flavors of exotic fruits a slight oxidative character and ripe spicy power. The wine has begun to lose some fruitiness but has gained great depth toast flavors almonds and a touch of nutmeg. This is an impressive wine that is ready to drink, Roger Voss

Anselmo Mendes Parcela Unica Alvarinho (Vinho Verde), 93, 35, 2016, 12.5, PORTUGAL, As its name suggests this wine comes from a single parcel of Alvarinho. Its richness and concentration is impressive. So are the apple pear and citrus fruits that are now maturing into a ripe spicy and nutty wine. At the end the wine has a fine mature balance that makes it ready to drink, Roger Voss

Anselmo Mendes 2017 Muros de Melgaco Alvarinho (Vinho Verde), 92, 27, 2017, 13, PORTUGAL, Get past the seriously tall bottle (that does not fit in any fridge door) and this wine is a whole new view of Alvarinho. Wood aged and ripe with spice and smooth white fruits the wine is intense and beautifully ripe. It should be aged a little longer to bring out its full character so drink from early 2019, Roger Voss

Provam Portal do Fidalgo Alvarinho (Vinho Verde), 92, 15, 2016, 13, PORTUGAL, Pure Alvarinho from the northern Monção and Melgaco area of Vinho Verde this is a fine wine. Its rich texture and creamy character are enhanced by the ripe apple and pepper flavors both lifted by acidity. The wine could age further to bring out the wonderful richness. So drink now for bright fruit or wait until late 2019, Roger Voss

Casa de Vilacetinho Grande Escolha White (Vinho Verde), 85, 10, 2016, 10, PORTUGAL, This soft medium-sweet wine comes from one of the oldest producers in the Vinho Verde region established in 1790. The wine is fruity and crisp with a light sparkle. Bright lemon acidity comes through strongly at the end, Roger Voss

Provam Vinha Antiga Escolha Alvarinho (Vinho Verde), 92, 18, 2015, 13, PORTUGAL, This is a rich impressively structured wine. It showcases the Alvarinho and brings out its fruit and flavors. The subtle wood aging has just enhanced the fruit. The wine is delicious and is now just ready to drink although it will be better from early 2018, Roger Voss

Casa do Valle Reserva Special Edition White, 92, 40, 2015, 13.5, PORTUGAL, The blend of this rich wine is dominated by Alvarinho some of it from old vines. With its wonderful ripe fruit and layers of apricot and pear flavors this is like no other Vinho Verde. That is except for that zingy acidity that gives the wine is refreshing fruitiness at the end. Drink now, Roger Voss

Quinta de Soalheiro 2015 Reserva Alvarinho (Vinho Verde), 92, 40, 2015, 13, PORTUGAL, A rich wood-aged wine this is dense and creamy. With acidity and toast ripe apples as well as spice the wine is made to age. Coming from the Alvarinho heartland of Melgaço on Portugal's northern border the wine has minerality and great intensity. It will be good until at least 2020, Roger Voss

Casa da Torre Quinta do Cruzeiro Reserva White (Vinho Verde), 91, 22, 2013, 13, PORTUGAL, Aged on its lees for 10 months after harvest the wine has a rich character that also shows in the light gold color. There is a nutty toasty character to this wine that gives it extra complexity and richness. Drink this impressive wine now , Roger Voss

Quintas de Melgaco QM Alvarinho (Vinho Verde), 91, 23, 2016, 13, PORTUGAL, Ripe Alvarinho from its home turf in the Minho Valley this wine is immediately attractive while also having a more serious intent. There is a crisp apple edge to this textured wine along with a creamy character that makes it both smooth and intense. Drink this from early 2018, Roger Voss

Quintas de Melgaco Torre de Menagem Escolha Alvarinho-Trajadura White (Vinho Verde), 88, 12, 2016, 12, PORTUGAL, A blend of two of Vinho Verde major grapes the wine has a rich content as well as fine textured minerality. There is plenty of acidity in this dry wine to give it a crisp edge and a concentrated aftertaste. Drink now, Roger Voss

J.Portugal Ramos Loureiro (Vinho Verde), 88, 10, 2016, 12.5, PORTUGAL, This is a classic dry Vinho Verde. It has delicious fruit and crisp acidity giving lemon flavors a lively texture and a refreshing aftertaste. Drink this wine now, Roger Voss

Quinta da Lixa Escolha White (Vinho Verde), 87, 10, 2016, 11.5, PORTUGAL, his is a classic crisp apple driven and fruity wine. With delicious acidity and a lively aftertaste the wine is tangy and zesty and a great summer drink, Roger Voss

Quintas de Melgaco QM Terra Antiga White (Vinho Verde), 87, 13, 2016, 10.5, PORTUGAL, For a Vinho Verde this is smooth. With the a creamy texture along with bread fruit and lime flavors the wine is soft. There is acidity to give a lift perfectly judged to keep this attractively crisp at the end. Drink now, Roger Voss

Wines & Winemakers Maria Bonita Loureiro (Vinho Verde), 87, 12, 2016, 10.5,  PORTUGAL, In praise in the Loureiro grape this dry wine has lively acidity while also having a ripe full texture of apples and pink grapefruit. The wine is crisp and intensely fruity. Drink now and until early 2018, Roger Voss

Quinta da Lixa Aromas das Castas Grande Escolha White (Vinho Verde), 86, 13, 2016, 12, PORTUGAL, Half-and-half Alvarinho and Trajadura the wine is dry crisp and with just a touch of fizz. Grapefruit and lemon flavors mingle with softer apples to give a bright and lively wine that is just made for summer food. Drink now, Roger Voss

Enoport Faisdo White (Vinho Verde), 85, 8, 2016, 10, PORTUGAL, Named after the pheasant the wine is crisp enough to be refreshing. It is medium sweet and lightly textured with orange zest. Drink now, Roger Voss

Quinta da Raza Dom Diogo Arinto (Vinho Verde), 85, 15, 2016, 12, PORTUGAL, There is a slight prickle that gives a surprise lift to this dry wine. Along with that is crisp fruit (lemon and apple flavors) and a refreshing amount of acidity. Drink now, Roger Voss

Quintas de Melgaco 2016 Blue White (Vinho Verde), 85, 13, 2016, 10.5, PORTUGAL, This blend of Trajadura and Alvarinho comes from the far north of the Vinho Verde region. The wine is cool and perfumed with apricot as well as creamed pear flavors. Drink the wine now, Roger Voss

Vinihold Caiua a Noite White (Vinho Verde), 85, 9, 2016, 9.5, PORTUGAL, Light bright and fruity this is an easy-to-drink off-dry wine for the summer. It is clean and crisp apples and pears set off by floral aromas. Drink now, Roger Voss

Quinta da Lixa Anjos de Portugal White (Vinho Verde), 84, 7, 2016, 9.5, PORTUGAL, An off-dry lightly fizzy Vinho Verde this is crisp clean and fruity. With its citrus kick it needs to be drunk this summer, Roger Voss

Wines & Winemakers Salsus White (Vinho Verde), 84, 10, 2016, 9.5, PORTUGAL, A typical off-dry wine lightly spritzy and with just enough acidity to balance. The fruit is the thing. The low alcohol makes it a fine summer wine. Drink now, Roger Voss
